cycle,subject,measure,value
0.175,boy37,Knee Angle,25.0
0.175,boy38,Hip Angle,46.0
0.175,boy38,Knee Angle,28.0
0.175,boy39,Hip Angle,42.0
0.175,boy39,Knee Angle,34.0
0.225,boy1,Hip Angle,23.0
0.225,boy1,Knee Angle,15.0
0.225,boy2,Hip Angle,27.0
0.225,boy2,Knee Angle,18.0
0.225,boy3,Hip Angle,33.0
0.225,boy3,Knee Angle,28.0
0.225,boy4,Hip Angle,15.0
0.225,boy4,Knee Angle,10.0
0.225,boy5,Hip Angle,7.0
0.225,boy5,Knee Angle,5.0
0.225,boy6,Hip Angle,31.0
0.225,boy6,Knee Angle,20.0
0.225,boy7,Hip Angle,18.0
0.225,boy7,Knee Angle,12.0
0.225,boy8,Hip Angle,36.0
0.225,boy8,Knee Angle,19.0
0.225,boy9,Hip Angle,31.0
0.225,boy9,Knee Angle,25.0
0.225,boy10,Hip Angle,19.0
0.225,boy10,Knee Angle,10.0
0.225,boy11,Hip Angle,26.0
0.225,boy11,Knee Angle,18.0
0.225,boy12,Hip Angle,22.0
0.225,boy12,Knee Angle,8.0
0.225,boy13,Hip Angle,19.0
0.225,boy13,Knee Angle,15.0
0.225,boy14,Hip Angle,26.0
0.225,boy14,Knee Angle,21.0
0.225,boy15,Hip Angle,26.0
0.225,boy15,Knee Angle,13.0
0.225,boy16,Hip Angle,27.0
0.225,boy16,Knee Angle,25.0
0.225,boy17,Hip Angle,31.0
0.225,boy17,Knee Angle,29.0
0.225,boy18,Hip Angle,31.0
0.225,boy18,Knee Angle,18.0
0.225,boy19,Hip Angle,18.0
0.225,boy19,Knee Angle,20.0
0.225,boy20,Hip Angle,22.0
0.225,boy20,Knee Angle,14.0
0.225,boy21,Hip Angle,17.0
0.225,boy21,Knee Angle,16.0
0.225,boy22,Hip Angle,24.0
0.225,boy22,Knee Angle,8.0
0.225,boy23,Hip Angle,35.0
0.225,boy23,Knee Angle,18.0
0.225,boy24,Hip Angle,21.0
0.225,boy24,Knee Angle,12.0
0.225,boy25,Hip Angle,26.0
0.225,boy25,Knee Angle,21.0
0.225,boy26,Hip Angle,18.0
0.225,boy26,Knee Angle,20.0
0.225,boy27,Hip Angle,21.0
0.225,boy27,Knee Angle,24.0
0.225,boy28,Hip Angle,23.0
0.225,boy28,Knee Angle,19.0
0.225,boy29,Hip Angle,17.0
0.225,boy29,Knee Angle,18.0
0.225,boy30,Hip Angle,29.0
0.225,boy30,Knee Angle,27.0
0.225,boy31,Hip Angle,30.0
0.225,boy31,Knee Angle,10.0
0.225,boy32,Hip Angle,28.0
0.225,boy32,Knee Angle,18.0
0.225,boy33,Hip Angle,19.0
0.225,boy33,Knee Angle,14.0
0.225,boy34,Hip Angle,25.0
0.225,boy34,Knee Angle,12.0
0.225,boy35,Hip Angle,31.0
0.225,boy35,Knee Angle,19.0
0.225,boy36,Hip Angle,30.0
0.225,boy36,Knee Angle,25.0
0.225,boy37,Hip Angle,24.0
0.225,boy37,Knee Angle,21.0
0.225,boy38,Hip Angle,41.0
0.225,boy38,Knee Angle,25.0
0.225,boy39,Hip Angle,37.0
0.225,boy39,Knee Angle,30.0
0.275,boy1,Hip Angle,18.0
0.275,boy1,Knee Angle,14.0
0.275,boy2,Hip Angle,21.0
0.275,boy2,Knee Angle,12.0
0.275,boy3,Hip Angle,27.0
0.275,boy3,Knee Angle,23.0
0.275,boy4,Hip Angle,15.0
0.275,boy4,Knee Angle,8.0
0.275,boy5,Hip Angle,5.0
0.275,boy5,Knee Angle,6.0
0.275,boy6,Hip Angle,27.0
0.275,boy6,Knee Angle,19.0
0.275,boy7,Hip Angle,15.0
0.275,boy7,Knee Angle,9.0
0.275,boy8,Hip Angle,30.0
0.275,boy8,Knee Angle,15.0
0.275,boy9,Hip Angle,25.0
0.275,boy9,Knee Angle,21.0
0.275,boy10,Hip Angle,15.0
0.275,boy10,Knee Angle,9.0
0.275,boy11,Hip Angle,20.0
0.275,boy11,Knee Angle,13.0
0.275,boy12,Hip Angle,19.0
0.275,boy12,Knee Angle,6.0
0.275,boy13,Hip Angle,15.0
0.275,boy13,Knee Angle,12.0
0.275,boy14,Hip Angle,20.0
0.275,boy14,Knee Angle,19.0
0.275,boy15,Hip Angle,21.0
0.275,boy15,Knee Angle,9.0
0.275,boy16,Hip Angle,20.0
0.275,boy16,Knee Angle,17.0
0.275,boy17,Hip Angle,23.0
0.275,boy17,Knee Angle,24.0
0.275,boy18,Hip Angle,24.0
0.275,boy18,Knee Angle,14.0
0.275,boy19,Hip Angle,13.0
0.275,boy19,Knee Angle,20.0
0.275,boy20,Hip Angle,14.0
0.275,boy20,Knee Angle,8.0
0.275,boy21,Hip Angle,13.0
0.275,boy21,Knee Angle,9.0
0.275,boy22,Hip Angle,16.0
0.275,boy22,Knee Angle,5.0
0.275,boy23,Hip Angle,30.0
0.275,boy23,Knee Angle,12.0
0.275,boy24,Hip Angle,14.0
0.275,boy24,Knee Angle,9.0
0.275,boy25,Hip Angle,19.0
0.275,boy25,Knee Angle,17.0
0.275,boy26,Hip Angle,13.0
0.275,boy26,Knee Angle,20.0
0.275,boy27,Hip Angle,15.0
0.275,boy27,Knee Angle,18.0
0.275,boy28,Hip Angle,15.0
0.275,boy28,Knee Angle,10.0
0.275,boy29,Hip Angle,12.0
0.275,boy29,Knee Angle,17.0
0.275,boy30,Hip Angle,23.0
0.275,boy30,Knee Angle,22.0
0.275,boy31,Hip Angle,27.0
0.275,boy31,Knee Angle,10.0
0.275,boy32,Hip Angle,27.0
0.275,boy32,Knee Angle,19.0
0.275,boy33,Hip Angle,13.0
0.275,boy33,Knee Angle,11.0
0.275,boy34,Hip Angle,20.0
0.275,boy34,Knee Angle,10.0
0.275,boy35,Hip Angle,25.0
0.275,boy35,Knee Angle,15.0
0.275,boy36,Hip Angle,23.0
0.275,boy36,Knee Angle,18.0
0.275,boy37,Hip Angle,18.0
0.275,boy37,Knee Angle,18.0
0.275,boy38,Hip Angle,36.0
0.275,boy38,Knee Angle,21.0
0.275,boy39,Hip Angle,29.0
0.275,boy39,Knee Angle,20.0
0.325,boy1,Hip Angle,15.0
0.325,boy1,Knee Angle,13.0
0.325,boy2,Hip Angle,16.0
0.325,boy2,Knee Angle,10.0
0.325,boy3,Hip Angle,21.0
0.325,boy3,Knee Angle,16.0
0.325,boy4,Hip Angle,10.0
0.325,boy4,Knee Angle,6.0
0.325,boy5,Hip Angle,1.0
0.325,boy5,Knee Angle,6.0
0.325,boy6,Hip Angle,21.0
0.325,boy6,Knee Angle,15.0
0.325,boy7,Hip Angle,14.0
0.325,boy7,Knee Angle,8.0
0.325,boy8,Hip Angle,24.0
0.325,boy8,Knee Angle,11.0
0.325,boy9,Hip Angle,19.0
0.325,boy9,Knee Angle,16.0
0.325,boy10,Hip Angle,13.0
0.325,boy10,Knee Angle,9.0
0.325,boy11,Hip Angle,14.0
0.325,boy11,Knee Angle,12.0
0.325,boy12,Hip Angle,15.0
0.325,boy12,Knee Angle,4.0
0.325,boy13,Hip Angle,13.0
0.325,boy13,Knee Angle,13.0
0.325,boy14,Hip Angle,16.0
0.325,boy14,Knee Angle,19.0
0.325,boy15,Hip Angle,20.0
0.325,boy15,Knee Angle,9.0
0.325,boy16,Hip Angle,17.0
0.325,boy16,Knee Angle,15.0
0.325,boy17,Hip Angle,16.0
0.325,boy17,Knee Angle,18.0
0.325,boy18,Hip Angle,18.0
0.325,boy18,Knee Angle,13.0
0.325,boy19,Hip Angle,11.0
0.325,boy19,Knee Angle,20.0
0.325,boy20,Hip Angle,9.0
0.325,boy20,Knee Angle,7.0
0.325,boy21,Hip Angle,7.0
0.325,boy21,Knee Angle,4.0
0.325,boy22,Hip Angle,12.0
0.325,boy22,Knee Angle,6.0
0.325,boy23,Hip Angle,26.0
0.325,boy23,Knee Angle,11.0
0.325,boy24,Hip Angle,9.0
0.325,boy24,Knee Angle,7.0
0.325,boy25,Hip Angle,15.0
0.325,boy25,Knee Angle,16.0
0.325,boy26,Hip Angle,11.0
0.325,boy26,Knee Angle,20.0
0.325,boy27,Hip Angle,8.0
0.325,boy27,Knee Angle,12.0
0.325,boy28,Hip Angle,11.0
0.325,boy28,Knee Angle,6.0
0.325,boy29,Hip Angle,8.0
0.325,boy29,Knee Angle,15.0
0.325,boy30,Hip Angle,19.0
0.325,boy30,Knee Angle,17.0
0.325,boy31,Hip Angle,21.0
0.325,boy31,Knee Angle,10.0
0.325,boy32,Hip Angle,23.0
0.325,boy32,Knee Angle,21.0
0.325,boy33,Hip Angle,8.0
0.325,boy33,Knee Angle,8.0
0.325,boy34,Hip Angle,13.0
0.325,boy34,Knee Angle,8.0
0.325,boy35,Hip Angle,19.0
0.325,boy35,Knee Angle,12.0
0.325,boy36,Hip Angle,19.0
0.325,boy36,Knee Angle,12.0
0.325,boy37,Hip Angle,10.0
0.325,boy37,Knee Angle,14.0
0.325,boy38,Hip Angle,30.0
0.325,boy38,Knee Angle,19.0
0.325,boy39,Hip Angle,22.0
0.325,boy39,Knee Angle,12.0
0.375,boy1,Hip Angle,12.0
0.375,boy1,Knee Angle,13.0
0.375,boy2,Hip Angle,12.0
0.375,boy2,Knee Angle,9.0
0.375,boy3,Hip Angle,15.0
0.375,boy3,Knee Angle,11.0
0.375,boy4,Hip Angle,6.0
0.375,boy4,Knee Angle,5.0
0.375,boy5,Hip Angle,0.0
0.375,boy5,Knee Angle,7.0
0.375,boy6,Hip Angle,18.0
0.375,boy6,Knee Angle,13.0
0.375,boy7,Hip Angle,10.0
0.375,boy7,Knee Angle,10.0
0.375,boy8,Hip Angle,17.0
0.375,boy8,Knee Angle,8.0
0.375,boy9,Hip Angle,17.0
0.375,boy9,Knee Angle,13.0
0.375,boy10,Hip Angle,6.0
0.375,boy10,Knee Angle,9.0
0.375,boy11,Hip Angle,9.0
0.375,boy11,Knee Angle,15.0
0.375,boy12,Hip Angle,11.0
0.375,boy12,Knee Angle,5.0
0.375,boy13,Hip Angle,10.0
0.375,boy13,Knee Angle,14.0
0.375,boy14,Hip Angle,13.0
0.375,boy14,Knee Angle,19.0
0.375,boy15,Hip Angle,15.0
0.375,boy15,Knee Angle,8.0
0.375,boy16,Hip Angle,10.0
0.375,boy16,Knee Angle,10.0
0.375,boy17,Hip Angle,9.0
0.375,boy17,Knee Angle,14.0
0.375,boy18,Hip Angle,12.0
0.375,boy18,Knee Angle,11.0
0.375,boy19,Hip Angle,7.0
0.375,boy19,Knee Angle,19.0
0.375,boy20,Hip Angle,6.0
0.375,boy20,Knee Angle,7.0
0.375,boy21,Hip Angle,3.0
0.375,boy21,Knee Angle,4.0
0.375,boy22,Hip Angle,8.0
0.375,boy22,Knee Angle,7.0
0.375,boy23,Hip Angle,23.0
0.375,boy23,Knee Angle,9.0
0.375,boy24,Hip Angle,9.0
0.375,boy24,Knee Angle,10.0
0.375,boy25,Hip Angle,10.0
0.375,boy25,Knee Angle,17.0
0.375,boy26,Hip Angle,7.0
0.375,boy26,Knee Angle,19.0
0.375,boy27,Hip Angle,1.0
0.375,boy27,Knee Angle,8.0
0.375,boy28,Hip Angle,7.0
0.375,boy28,Knee Angle,5.0
0.375,boy29,Hip Angle,4.0
0.375,boy29,Knee Angle,11.0
0.375,boy30,Hip Angle,14.0
0.375,boy30,Knee Angle,11.0
0.375,boy31,Hip Angle,18.0
0.375,boy31,Knee Angle,12.0
0.375,boy32,Hip Angle,24.0
0.375,boy32,Knee Angle,25.0
0.375,boy33,Hip Angle,5.0
0.375,boy33,Knee Angle,6.0
0.375,boy34,Hip Angle,7.0
0.375,boy34,Knee Angle,4.0
0.375,boy35,Hip Angle,15.0
0.375,boy35,Knee Angle,11.0
0.375,boy36,Hip Angle,14.0
0.375,boy36,Knee Angle,10.0
0.375,boy37,Hip Angle,6.0
0.375,boy37,Knee Angle,13.0
0.375,boy38,Hip Angle,25.0
0.375,boy38,Knee Angle,17.0
0.375,boy39,Hip Angle,14.0
0.375,boy39,Knee Angle,7.0
0.425,boy1,Hip Angle,9.0
0.425,boy1,Knee Angle,15.0
0.425,boy2,Hip Angle,4.0
0.425,boy2,Knee Angle,7.0
0.425,boy3,Hip Angle,7.0
0.425,boy3,Knee Angle,8.0
0.425,boy4,Hip Angle,3.0
0.425,boy4,Knee Angle,5.0
0.425,boy5,Hip Angle,-2.0
0.425,boy5,Knee Angle,8.0
0.425,boy6,Hip Angle,14.0
0.425,boy6,Knee Angle,9.0
0.425,boy7,Hip Angle,8.0
0.425,boy7,Knee Angle,14.0
0.425,boy8,Hip Angle,12.0
0.425,boy8,Knee Angle,7.0
0.425,boy9,Hip Angle,13.0
0.425,boy9,Knee Angle,8.0
0.425,boy10,Hip Angle,0.0
0.425,boy10,Knee Angle,11.0
0.425,boy11,Hip Angle,3.0
0.425,boy11,Knee Angle,16.0
0.425,boy12,Hip Angle,6.0
0.425,boy12,Knee Angle,5.0
0.425,boy13,Hip Angle,6.0
0.425,boy13,Knee Angle,14.0
0.425,boy14,Hip Angle,10.0
0.425,boy14,Knee Angle,19.0
0.425,boy15,Hip Angle,13.0
0.425,boy15,Knee Angle,11.0
0.425,boy16,Hip Angle,5.0
0.425,boy16,Knee Angle,7.0
0.425,boy17,Hip Angle,4.0
0.425,boy17,Knee Angle,12.0
0.425,boy18,Hip Angle,6.0
0.425,boy18,Knee Angle,9.0
0.425,boy19,Hip Angle,1.0
0.425,boy19,Knee Angle,16.0
0.425,boy20,Hip Angle,4.0
0.425,boy20,Knee Angle,7.0
0.425,boy21,Hip Angle,0.0
0.425,boy21,Knee Angle,5.0
0.425,boy22,Hip Angle,5.0
0.425,boy22,Knee Angle,8.0
0.425,boy23,Hip Angle,20.0
0.425,boy23,Knee Angle,11.0
0.425,boy24,Hip Angle,6.0
0.425,boy24,Knee Angle,9.0
0.425,boy25,Hip Angle,4.0
0.425,boy25,Knee Angle,15.0
0.425,boy26,Hip Angle,1.0
0.425,boy26,Knee Angle,16.0
0.425,boy27,Hip Angle,-5.0
0.425,boy27,Knee Angle,7.0
0.425,boy28,Hip Angle,5.0
0.425,boy28,Knee Angle,10.0
0.425,boy29,Hip Angle,1.0
0.425,boy29,Knee Angle,9.0
0.425,boy30,Hip Angle,8.0
0.425,boy30,Knee Angle,7.0
0.425,boy31,Hip Angle,15.0
0.425,boy31,Knee Angle,13.0
0.425,boy32,Hip Angle,19.0
0.425,boy32,Knee Angle,24.0
0.425,boy33,Hip Angle,-1.0
0.425,boy33,Knee Angle,5.0
0.425,boy34,Hip Angle,1.0
0.425,boy34,Knee Angle,2.0
0.425,boy35,Hip Angle,10.0
0.425,boy35,Knee Angle,10.0
0.425,boy36,Hip Angle,9.0
0.425,boy36,Knee Angle,9.0
0.425,boy37,Hip Angle,3.0
0.425,boy37,Knee Angle,14.0
0.425,boy38,Hip Angle,21.0
0.425,boy38,Knee Angle,16.0
0.425,boy39,Hip Angle,8.0
0.425,boy39,Knee Angle,6.0
0.475,boy1,Hip Angle,6.0
0.475,boy1,Knee Angle,21.0
0.475,boy2,Hip Angle,-1.0
0.475,boy2,Knee Angle,9.0
0.475,boy3,Hip Angle,1.0
0.475,boy3,Knee Angle,11.0
0.475,boy4,Hip Angle,0.0
0.475,boy4,Knee Angle,9.0
0.475,boy5,Hip Angle,-4.0
0.475,boy5,Knee Angle,15.0
0.475,boy6,Hip Angle,10.0
0.475,boy6,Knee Angle,10.0
0.475,boy7,Hip Angle,4.0
0.475,boy7,Knee Angle,16.0
0.475,boy8,Hip Angle,7.0
0.475,boy8,Knee Angle,8.0
0.475,boy9,Hip Angle,10.0
0.475,boy9,Knee Angle,8.0
0.475,boy10,Hip Angle,-1.0
0.475,boy10,Knee Angle,19.0
0.475,boy11,Hip Angle,-2.0
0.475,boy11,Knee Angle,19.0
0.475,boy12,Hip Angle,3.0
0.475,boy12,Knee Angle,10.0
0.475,boy13,Hip Angle,1.0
0.475,boy13,Knee Angle,15.0
0.475,boy14,Hip Angle,8.0
0.475,boy14,Knee Angle,20.0
0.475,boy15,Hip Angle,7.0
0.475,boy15,Knee Angle,12.0
0.475,boy16,Hip Angle,-2.0
0.475,boy16,Knee Angle,7.0
0.475,boy17,Hip Angle,0.0
